Devices,,,,
1000,,,,
,,1412755 - Force,,
Frame,Sub Frame,Fx,Fy,Fz
,,N,N,N
143,0,-0.581427,-23.3178,-582.458
143,1,-0.529268,-23.5536,-581.859
143,2,-0.468558,-23.7784,-581.214
143,3,-0.401315,-24.0068,-580.502
144,0,-0.327447,-24.245,-579.772
144,1,-0.246851,-24.4881,-579.1
144,2,-0.160044,-24.7275,-578.521
144,3,-0.0677197,-24.9593,-578.003
145,0,0.0266529,-25.1884,-577.464
145,1,0.113732,-25.4223,-576.828
145,2,0.181051,-25.6639,-576.099
145,3,0.222998,-25.9098,-575.353
146,0,0.246856,-26.1571,-574.651
146,1,0.269238,-26.4068,-573.993
146,2,0.309385,-26.6616,-573.308
146,3,0.378552,-26.9234,-572.504
147,0,0.469629,-27.1929,-571.554
147,1,0.561897,-27.468,-570.538
147,2,0.637807,-27.7468,-569.566
147,3,0.693602,-28.0324,-568.692
148,0,0.738002,-28.3315,-567.892
148,1,0.785228,-28.6473,-567.114
148,2,0.847334,-28.9754,-566.322
148,3,0.928426,-29.308,-565.495
149,0,1.02464,-29.6403,-564.601
149,1,1.13048,-29.9701,-563.611
149,2,1.24441,-30.2967,-562.537
149,3,1.36934,-30.6236,-561.44
150,0,1.5059,-30.9563,-560.39
150,1,1.64197,-31.2976,-559.428
150,2,1.75814,-31.6474,-558.548
150,3,1.84972,-32.0045,-557.711
151,0,1.93617,-32.3663,-556.871
151,1,2.04546,-32.7327,-555.996
151,2,2.18821,-33.109,-555.067
151,3,2.34671,-33.5018,-554.085
152,0,2.49053,-33.9105,-553.079
152,1,2.60078,-34.3278,-552.075
152,2,2.67994,-34.7453,-551.066
152,3,2.74472,-35.158,-550.012
153,0,2.81293,-35.5658,-548.875
153,1,2.89464,-35.9708,-547.633
153,2,2.99033,-36.376,-546.293
153,3,3.09497,-36.7883,-544.89
154,0,3.20261,-37.2185,-543.494
154,1,3.30635,-37.6774,-542.171
154,2,3.39856,-38.1693,-540.931
154,3,3.47494,-38.6873,-539.727
155,0,3.53761,-39.2202,-538.502
155,1,3.59388,-39.7599,-537.229
155,2,3.65148,-40.3015,-535.895
155,3,3.71661,-40.8418,-534.47
156,0,3.79735,-41.3778,-532.915
156,1,3.90104,-41.9029,-531.207
156,2,4.02303,-42.4115,-529.37
156,3,4.147,-42.9073,-527.479
157,0,4.26078,-43.4012,-525.619
157,1,4.36289,-43.8968,-523.851
157,2,4.45452,-44.3887,-522.193
157,3,4.53533,-44.8757,-520.592
158,0,4.60746,-45.3591,-518.937
158,1,4.67968,-45.833,-517.121
158,2,4.76447,-46.2907,-515.116
158,3,4.86507,-46.7363,-512.972
159,0,4.96895,-47.1815,-510.754
159,1,5.06282,-47.6344,-508.51
159,2,5.14682,-48.0942,-506.246
159,3,5.22908,-48.5537,-503.918
160,0,5.31559,-49.006,-501.46
160,1,5.40607,-49.4492,-498.838
160,2,5.49579,-49.8826,-496.061
160,3,5.57903,-50.2997,-493.174
161,0,5.64922,-50.6933,-490.239
161,1,5.70277,-51.0621,-487.309
161,2,5.74376,-51.4093,-484.396
161,3,5.77732,-51.7395,-481.463
162,0,5.8016,-52.0543,-478.459
162,1,5.81368,-52.3523,-475.377
162,2,5.81874,-52.6325,-472.246
162,3,5.82461,-52.891,-469.081
163,0,5.83064,-53.1145,-465.859
163,1,5.83126,-53.2862,-462.539
163,2,5.82643,-53.3973,-459.102
163,3,5.82016,-53.4508,-455.597
164,0,5.81644,-53.4571,-452.111
164,1,5.82109,-53.4282,-448.697
164,2,5.84011,-53.372,-445.331
164,3,5.87311,-53.288,-441.926
165,0,5.90853,-53.1678,-438.387
165,1,5.92695,-53.0045,-434.694
165,2,5.91391,-52.8009,-430.928
165,3,5.86847,-52.5641,-427.197
166,0,5.79833,-52.294,-423.534
166,1,5.71334,-51.9825,-419.892
166,2,5.62408,-51.6223,-416.212
166,3,5.54031,-51.2137,-412.438
167,0,5.46571,-50.7647,-408.523
167,1,5.39403,-50.2865,-404.491
167,2,5.31385,-49.7894,-400.469
